key_cluster_material,centro_principal,codigo_material,codigo_planejador_mrp,descricao_material,saldo_estoque,data_referencia_semana,preco_unitario_usd,leadtime_dias,tempo_entrada_material_dias,unidade_medida_basica,Ordem Eng.,Grupo,Cód.Clie.,Descrição,Empresa,Descrição OE,Status,Ser.In.Avi,Nr.Sér.Fnl,Dt Lib Prv,Tipo Aenv.,Material,Nº Desenho,Descrição do Desenho,Tipo Mat.,Proc.mat.,Orig. Mat.
SAP ONE_213538,TTE1,213538,IG8,CONJ SUP ARMARIO 4LSTC,1.0,2025-01-27,0.0,50,12,UM,190310172-00,190G,JD,EZAIR INTERIORS,809176,"New Dev, Stowage 4LSTC-34",RELE,3.0,99999.0,14.11.2024,190,213538,197-90143AAA401,CONJ SUP ARMARIO 4LSTC,1,P,7
SAP ONE_184464,SJK1,184464,IG8,"CORREDOR, DETALHE DA FAIXA DE CHUTE",0.0,2025-01-27,0.0,50,12,UM,190310172-00,190G,JD,EZAIR INTERIORS,809176,"New Dev, Stowage 4LSTC-34",RELE,3.0,99999.0,14.11.2024,190,184464,H188107-1,"CORREDOR, DETALHE DA FAIXA DE CHUTE",2,P,7
SAP ONE_184503,SJK1,184503,IG8,"GUIA RODA CARRINHO, OUTBD, CART STO",2.0,2025-01-27,23.23,50,12,UM,190310172-00,190G,JD,EZAIR INTERIORS,809176,"New Dev, Stowage 4LSTC-34",RELE,3.0,99999.0,14.11.2024,190,184503,H181170-1,"GUIA RODA CARRINHO, OUTBD, CART STO",2,P,7
SAP ONE_807155,SJK1,807155,776,"ETIQUETAS,CONEC ELETR, DUMMY",10.0,2025-01-27,15.52,0,1,UM,390011813-00,390,,EMBRAER,62729,"CIP-   HARN INSTL, COMPL WINCH RETRIEVAL",RELE,16.0,9800.0,12.12.2024,390,807155,393-13094-401,"ETIQUETAS,CONEC ELETR, DUMMY",1,E,W
SAP ONE_184553,SJK1,184553,IG8,"GUIA RODA CARRINHO, INBD, CARRO ARM",1.0,2025-01-27,23.22,50,12,UM,190310172-00,190G,JD,EZAIR INTERIORS,809176,"New Dev, Stowage 4LSTC-34",RELE,3.0,99999.0,14.11.2024,190,184553,H181168-1,"GUIA RODA CARRINHO, INBD, CARRO ARM",2,P,7
SAP ONE_184486,SJK1,184486,IG8,"PAINEL DE ACESSO, INFERIOR, DIANTE",1.0,2025-01-27,20.17,50,12,UM,190310172-00,190G,JD,EZAIR INTERIORS,809176,"New Dev, Stowage 4LSTC-34",RELE,3.0,99999.0,14.11.2024,190,184486,H188106-1,"PAINEL DE ACESSO, INFERIOR, DIANTE",2,P,7
